OSEBuildingID;DataYear;BuildingType;PrimaryPropertyType;PropertyName;Address;City;State;ZipCode;TaxParcelIdentificationNumber;CouncilDistrictCode;Neighborhood;Latitude;Longitude;YearBuilt;NumberofBuildings;NumberofFloors;PropertyGFATotal;PropertyGFAParking;PropertyGFABuilding(s);ListOfAllPropertyUseTypes;LargestPropertyUseType;LargestPropertyUseTypeGFA;SecondLargestPropertyUseType;SecondLargestPropertyUseTypeGFA;ThirdLargestPropertyUseType;ThirdLargestPropertyUseTypeGFA;YearsENERGYSTARCertified;ENERGYSTARScore;SiteEUI(kBtu/sf);SiteEUIWN(kBtu/sf);SourceEUI(kBtu/sf);SourceEUIWN(kBtu/sf);SiteEnergyUse(kBtu);SiteEnergyUseWN(kBtu);SteamUse(kBtu);Electricity(kWh);Electricity(kBtu);NaturalGas(therms);NaturalGas(kBtu);TotalGHGEmissions;GHGEmissionsIntensity;DefaultData;ComplianceStatus;Outlier;Predict_ghgemissions;Predict_energyuse
21,476;2017;Multifamily HR (10+);High-Rise Multifamily;Harbor Steps;1221 First Ave.;Seattle;WA;98101.0;1976200075;7.0;DOWNTOWN;47.60635;-122.33817;2000.0;1.0;28.0;1,256,335;285,688;970,647;Multifamily Housing, Office, Parking, Swimming Pool;Multifamily;940,245;Parking;285,688;Office;30,402;;44.0;51.90;51.00;124.50;122.00;50,391,036;49,502,796;;9,530,343;32,517,530.316;178,735.02;17,873,501.56;1,083.79;0.863;N;Compliant;;261.99;1996614.5
21,478;2017;Campus;Mixed Use Property;Economy Market;1433 First Avenue;Seattle;WA;98101.0;1976200105;7.0;DOWNTOWN;47.60805;-122.33978;1900.0;1.0;2.0;49,280;0;49,280;Food Sales, Office, Restaurant, Retail Store, Self-Storage Facility, Social/Meeting Hall;Retail Stor;15,614;Restaurant;9,240;Social/Meeting Hall;8,199;;;107.40;107.40;282.20;282.20;5,293,471;5,293,471;;1,171,071.25;3,995,695.105;12,977.75;1,297,775.00;85.46;1.734;Y;Not Compliant;;261.99;1996614.5
21,479;2017;Multifamily MR (5-9);Mid-Rise Multifamily;53381 - Post Alley Court;1408 Western Ave;Seattle;WA;98101.0;1976200140;7.0;DOWNTOWN;47.6078;-122.34014;1989.0;1.0;8.0;42,765;;;Multifamily Housing;Multifamily;30,377;;;;;;24.0;59.30;58.20;186.10;182.60;1,800,028.5;1,766,927.125;;527,558.125;1,800,028.3225;;;7.45;0.174;N;Compliant;;261.99;1996614.5
21,480;2017;Multifamily LR (1-4);Low-Rise Multifamily;Marketside Flats;84 Union St;Seattle;WA;98101.0;1976200160;7.0;DOWNTOWN;47.60763;-122.34005;1915.0;1.0;4.0;31,578;;;Multifamily Housing;Multifamily;27,510;;;;;;100.0;15.10;14.50;32.50;31.90;414,144.6875;399,220.1875;;64,354.19921875;219,576.527734375;1,945.68;194,568.08;11.24;0.356;N;Compliant;;261.99;1996614.5
21,481;2017;Campus;Low-Rise Multifamily;Sanitary Market;1525 FIrst Avenue;Seattle;WA;98101.0;1976200210;7.0;DOWNTOWN;47.60918;-122.34079;1942.0;1.0;4.0;45,500;;;Bar/Nightclub, Food Sales, Multifamily Housing, Restaurant, Retail Store, Self-Storage Facility;Multifamily;22,669;Retail Store;10,455;Restaurant;3,668;;;85.20;85.20;267.50;267.50;3,778,488;3,778,488;;1,107,411.375;3,778,487.6115;;;15.63;0.344;N;Compliant;;261.99;1996614.5
21,482;2017;Campus;Restaurant;Corner Market;1501 1st Avenue;Seattle;WA;98101.0;1976200230;7.0;DOWNTOWN;47.60895;-122.34052;1912.0;1.0;2.0;25,380;0;25,380;Food Sales, Office, Restaurant;Restaurant;17,114;Food Sales;6,426;Office;1,840;;;265.20;265.10;533.80;533.40;6,730,499;6,727,574;;908,716.125;3,100,539.4185;36,299.59;3,629,958.98;205.61;8.101;N;Compliant;;261.99;1996614.5
21,483;2017;NonResidential;Small- and Mid-Sized Office;(ID21483) Madore Building;1501 Western Avenue;Seattle;WA;98101.0;1976200300;7.0;DOWNTOWN;47.60836;-122.34157;1915.0;1.0;6.0;40,715;0;40,715;Non-Refrigerated Warehouse, Office, Retail Store;Office;20,895;Retail Store;16,260;Non-Refrigerated Warehouse;3,560;;;67.80;66.30;187.40;182.50;2,762,010;2,699,011.5;;663,120.6875;2,262,567.78575;4,994.42;499,442.04;35.89;0.881;Y;Not Compliant;;261.99;1996614.5
21,486;2017;Multifamily MR (5-9);Mid-Rise Multifamily;1st and Pine;104 Pine St;Seattle;WA;98101.0;1977200030;7.0;DOWNTOWN;47.61012;-122.34073;1909.0;1.0;6.0;51,578;0;51,578;Multifamily Housing, Retail Store;Multifamily;44,474;Retail Store;7,104;;;;;53.00;52.20;92.80;90.90;2,734,337.75;2,689,995.75;1,256,593;241,954.5;825,548.754;6,521.96;652,196.00;104.86;2.033;N;Compliant;;261.99;1996614.5
21,487;2017;Multifamily MR (5-9);Mid-Rise Multifamily;Elliott Pointe Apartments;2226 Elliott Ave;Seattle;WA;98121.0;1977200185;7.0;DOWNTOWN;47.61205;-122.34738;1994.0;1.0;6.0;97,517;;;Multifamily Housing, Parking, Retail Store;Multifamily;62,475;Parking;32,691;Retail Store;2,351;;;29.60;29.60;93.00;93.10;1,920,962.25;1,921,326.875;;563,001.8125;1,920,962.18425;;;7.95;0.081;Y;Not Compliant;;261.99;1996614.5
21,488;2017;NonResidential;Mixed Use Property;E0010 - Elliott Court;2103-2107 Elliott Avenue;Seattle;WA;98121.0;1977200245;7.0;DOWNTOWN;47.61113;-122.34556;1990.0;1.0;4.0;82,065;34,800;47,265;Office, Parking, Retail Store;Parking;36,036;Office;27,594;Retail Store;13,945;;93.0;39.80;38.90;124.90;122.00;1,652,356.5;1,614,195.625;;484,277.90625;1,652,356.216125;;;6.84;0.083;N;Compliant;;261.99;1996614.5
21,490;2017;Multifamily MR (5-9);Mid-Rise Multifamily;Livingston-Baker Building;1925 First Avenue;Seattle;WA;98101.0;1977200395;7.0;DOWNTOWN;47.61064;-122.3425;1901.0;1.0;6.0;70,850;;;Medical Office, Multifamily Housing, Other - Restaurant/Bar, Retail Store;Multifamily;37,014;Medical Office;9,912;Other - Restaurant/Bar;3,155;;;51.10;50.20;160.50;157.80;2,604,657.75;2,560,779.75;;763,381.375;2,604,657.2515;;;10.78;0.152;Y;Not Compliant;;261.99;1996614.5
21,495;2017;NonResidential;Small- and Mid-Sized Office;Alaska Trade Building;1917 1St Ave;Seattle;WA;98101.0;1977200420;7.0;DOWNTOWN;47.61041;-122.34214;1910.0;1.0;4.0;36,160;0;36,160;Office;Office;36,160;;;;;;36.0;60.30;60.30;189.40;189.50;2,181,601.5;2,181,955.5;;639,390.8125;2,181,601.45225;;;9.03;0.25;N;Compliant;;261.99;1996614.5
21,496;2017;NonResidential;Mixed Use Property;Soames Dunn Building;1916 Pike Place;Seattle;WA;98101.0;1977200425;7.0;DOWNTOWN;47.61014;-122.34251;1918.0;1.0;1.0;34,617;0;34,617;Food Sales, Manufacturing/Industrial Plant, Office, Other - Entertainment/Public Assembly, Other - Restaurant/Bar, Restaurant, Retail Store, Self-Storage Facility;Other - Res;7,734.39990234375;Self-Storage Facility;6,087;Manufacturing/Industrial Plant;5,675;;;115.60;115.40;297.30;296.70;3,914,171.5;3,908,497.5;;835,337.6875;2,850,172.18975;10,639.99;1,063,999.02;68.30;1.973;Y;Not Compliant;;261.99;1996614.5
21,497;2017;Multifamily MR (5-9);Mid-Rise Multifamily;The Fairmount;1907 1st Ave;Seattle;WA;98101.0;1977200435;7.0;DOWNTOWN;47.61033;-122.34184;1914.0;1.0;5.0;39,528;0;39,528;Multifamily Housing, Office, Restaurant, Retail Store;Multifamily;22,968;Retail Store;10,400;Restaurant;2,900;;;59.30;58.50;163.40;160.60;2,235,272.75;2,202,274;;533,853;1,821,506.436;4,137.66;413,766.02;29.51;0.747;Y;Not Compliant;;261.99;1996614.5
21,501;2017;Multifamily MR (5-9);Mid-Rise Multifamily;L0088 - Ventana;2100 Western Ave;Seattle;WA;98121.0;1977200546;7.0;DOWNTOWN;47.61135;-122.34483;2001.0;1.0;8.0;68,628;;;Multifamily Housing, Parking, Retail Store;Multifamily;47,683;Parking;12,570;Retail Store;7,704;;79.0;36.70;36.10;95.90;94.10;2,033,244.25;2,000,644;;445,573.59375;1,520,297.101875;5,129.47;512,947.02;33.53;0.489;N;Compliant;;261.99;1996614.5
21,502;2017;Multifamily MR (5-9);Mid-Rise Multifamily;Volta;2233 1st Ave;Seattle;WA;98121.0;1977200570;7.0;DOWNTOWN;47.61305;-122.3466;2010.0;1.0;8.0;54,550;;;Multifamily Housing, Parking, Retail Store;Multifamily;41,599;Parking;12,044;Retail Store;907;;;15.20;15.20;16.00;16.00;648,075;648,075;;0;0;6,480.75;648,075.05;34.42;0.631;Y;Not Compliant;;261.99;1996614.5
21,503;2017;Multifamily HR (10+);High-Rise Multifamily;Bell Tower;2215 1st Ave;Seattle;WA;98109.0;1977200590;7.0;DOWNTOWN;47.61277;-122.34614;1970.0;1.0;16.0;95,700;;;Multifamily Housing, Parking;Multifamily;80,471;Parking;15,229;;;;60.0;50.90;50.30;132.20;130.20;4,098,834.5;4,049,130.5;;888,178.8125;3,030,466.10825;10,683.68;1,068,367.97;69.28;0.724;N;Compliant;;261.99;1996614.5
21,505;2017;NonResidential;Small- and Mid-Sized Office;U0010 - Union Stables;2200 Western Avenue;Seattle;WA;98121.0;1977200605;7.0;DOWNTOWN;47.6123;-122.34611;1909.0;1.0;5.0;66,900;0;66,900;Office;Office;68,048;;;;;;99.0;28.80;28.80;88.60;88.60;1,962,237.625;1,962,244.625;;556,523.625;1,898,858.6085;633.79;63,379.00;11.22;0.168;N;Compliant;;261.99;1996614.5
21,506;2017;NonResidential;Mixed Use Property;Scargo Apartments;2205 1st Ave;Seattle;WA;98121.0;1977200610;7.0;DOWNTOWN;47.61252;-122.34565;1910.0;1.0;3.0;29,340;0;29,340;Multifamily Housing, Office, Restaurant;Office;12,714;Multifamily Housing;11,592;Restaurant;2,836;;;90.90;90.10;160.10;159.10;2,467,970;2,444,168.75;;245,830;838,771.96;16,291.98;1,629,198.05;90.00;3.067;Y;Not Compliant;;261.99;1996614.5
21,507;2017;Multifamily LR (1-4);Low-Rise Multifamily;Lewiston Apartments;2201 1st Ave;Seattle;WA;98121.0;1977200615;7.0;DOWNTOWN;47.61252;-122.34565;1900.0;1.0;3.0;27,140;0;27,140;Food Service, Multifamily Housing;Multifamily;14,269;Food Service;12,511;;;;;;;;;;;;180,379.59375;615,455.173875;;;2.55;0.094;N;Not Compliant;;261.99;1996614.5
21,508;2017;NonResidential;Other;White and Hitchcock;2234 1st Ave;Seattle;WA;98121.0;1977200625;7.0;DOWNTOWN;47.61341;-122.34597;1930.0;0.0;2.0;22,710;0;22,710;Food Service;Food Servic;22,710;;;;;;;13.00;13.00;40.90;40.90;296,043.1875;296,043.1875;;86,765.296875;296,043.1929375;;;1.22;0.054;N;Compliant;;261.99;1996614.5
21,510;2017;Multifamily MR (5-9);Mid-Rise Multifamily;Concept One Apts;2219 2nd Ave;Seattle;WA;98121.0;1977200650;7.0;DOWNTOWN;47.61345;-122.34525;1995.0;1.0;5.0;63,861;;;Multifamily Housing, Parking;Multifamily;63,861;Parking;16,910;;;;47.0;67.00;66.70;135.10;134.00;4,278,337.5;4,257,388;;580,129.1875;1,979,400.78775;22,989.36;2,298,936.13;130.29;2.04;N;Compliant;;261.99;1996614.5
21,512;2017;Multifamily MR (5-9);Mid-Rise Multifamily;Mercerview;1200 Mercer St;Seattle;WA;98109.0;1977200671;7.0;DOWNTOWN;47.61319;-122.34481;1923.0;1.0;6.0;50,376;;;Multifamily Housing;Multifamily;79,402;;;;;;;24.00;23.80;75.50;74.70;1,908,046.625;1,888,389.625;;559,216.375;1,908,046.2715;;;7.89;0.157;N;Compliant;;261.99;1996614.5
21,515;2017;NonResidential;Small- and Mid-Sized Office;RDM Building;1938 Fairview Ave E;Seattle;WA;98102.0;2025049030;4.0;LAKE UNION;47.6367;-122.3285;2000.0;1.0;3.0;50,499;13,540;36,959;Office, Parking;Office;36,959;Parking;13,540;;;;11.0;93.80;93.80;294.70;294.70;3,468,282.75;3,468,282.75;;1,016,495.375;3,468,282.2195;0.00;0.00;14.35;0.284;N;Compliant;;261.99;1996614.5
21,520;2017;NonResidential;Small- and Mid-Sized Office;1910 Fairview - new;1910 Fairview;Seattle;WA;98104.0;2025049040;4.0;LAKE UNION;47.63616;-122.32718;1964.0;1.0;5.0;54,465;9,605;44,860;Office, Parking;Office;57,972;Parking;0;;;;61.0;73.00;72.30;205.20;204.50;4,229,267.5;4,193,539.75;;1,045,201.125;3,566,226.2385;6,630.41;663,041.02;49.97;0.917;N;Compliant;;261.99;1996614.5
21,521;2017;NonResidential;K-12 School;ST NICHOLAS SCHOOL;1501 10TH AVE E;SEATTLE;WA;98102.0;2025049052;3.0;EAST;47.63239;-122.32072;1930.0;1.0;2.0;45,960;0;45,960;K-12 School;K-12 School;45,960;;;;;;41.0;104.00;103.30;149.10;148.40;4,781,740;4,748,994;;256,989.09375;876,846.787875;39,048.93;3,904,892.97;211.02;4.591;N;Compliant;;261.99;1996614.5
21,524;2017;Multifamily LR (1-4);Low-Rise Multifamily;Minor Tower Apartments;2525 Minor Ave E;Seattle;WA;98102.0;2025049091;4.0;LAKE UNION;47.64272;-122.32866;1974.0;1.0;4.0;37,361;4,735;32,626;Multifamily Housing;Multifamily;27,732;;;;;;56.0;35.40;34.80;111.30;109.40;982,940.3125;966,205.3125;;288,083.3125;982,940.26225;;;4.07;0.109;N;Compliant;;261.99;1996614.5
21,526;2017;Multifamily LR (1-4);Low-Rise Multifamily;Lakeview;1555 Lakeview Blvd E;Seattle;WA;98102.0;2025049128;3.0;EAST;47.63364;-122.32271;1949.0;1.0;3.0;21,112;;;Multifamily Housing;Multifamily;21,112;;;;;;92.0;49.10;47.80;74.60;73.20;1,035,762.875;1,008,170.3125;;68,272.5;232,945.77;8,028.17;802,816.99;43.60;2.065;N;Compliant;;261.99;1996614.5
21,527;2017;Multifamily LR (1-4);Low-Rise Multifamily;Parkside;1203 NE 135th St;Seattle;WA;98125.0;2026049013;5.0;North;47.72641;-122.31519;1987.0;1.0;3.0;22,646;0;22,646;Multifamily Housing;Multifamily;22,646;;;;;;75.0;29.10;28.60;91.30;89.80;658,224.3125;647,361.3125;;192,914.5;658,224.274;;;2.72;0.12;N;Compliant;;261.99;1996614.5
21,530;2017;NonResidential;Small- and Mid-Sized Office;Space Needle Building;203 6th Avenue N;Seattle;WA;98109.0;1991200520;7.0;LAKE UNION;47.61992;-122.34539;1959.0;1.0;2.0;21,128;0;21,128;Office;Office;21,128;;;;;;97.0;21.30;20.40;66.70;64.20;449,011.3125;431,653.1875;;131,597.703125;449,011.3630625;;;1.86;0.088;N;Compliant;;261.99;1996614.5
21,532;2017;Multifamily MR (5-9);Mid-Rise Multifamily;Taylor 28;100 Taylor Avenue N;Seattle;WA;98109.0;1991200600;7.0;LAKE UNION;47.6189;-122.34588;2010.0;1.0;6.0;191,832;138,292;53,540;Multifamily Housing, Parking, Retail Store;Multifamily;192,322;Parking;103,018;Retail Store;11,602;;;33.50;33.20;66.60;66.30;6,828,032.5;6,779,782;;898,614;3,066,070.968;37,619.61;3,761,960.94;212.48;1.108;N;Compliant;;261.99;1996614.5
21,533;2017;NonResidential;Mixed Use Property;Hyatt Place;110 6th Ave N;Seattle;WA;98109.0;1991200695;7.0;LAKE UNION;47.61893;-122.34473;2008.0;1.0;4.0;274,442;;;Hotel, Multifamily Housing, Parking, Retail Store;Hotel;108,763;Parking;105,499;Multifamily Housing;58,152;;;55.60;55.30;127.20;126.80;9,396,204;9,340,530;;1,629,526;5,559,942.712;38,362.61;3,836,260.94;226.75;0.826;Y;Not Compliant;;261.99;1996614.5
21,534;2017;NonResidential;Small- and Mid-Sized Office;Little Wing;120 6th Ave N;Seattle;WA;98109.0;1991200705;7.0;LAKE UNION;47.61952;-122.34462;2013.0;1.0;3.0;51,552;0;51,552;Office;Office;54,800;Data Center;650;;;;95.0;29.50;29.50;92.50;92.50;1,614,287.75;1,614,287.75;;473,120.59375;1,614,287.465875;;;6.68;0.13;N;Compliant;;261.99;1996614.5
21,535;2017;NonResidential;Hotel;Travelodge - WA - Seattle - 07033;200 6th Ave N;Seattle;WA;98109.0;1991200765;7.0;LAKE UNION;47.62014;-122.34456;1959.0;1.0;4.0;38,520;0;38,520;Hotel;Hotel;38,500;;;;;;26.0;81.50;79.40;191.70;185.00;3,139,252.25;3,056,155;;572,946.6875;1,954,894.09775;11,843.58;1,184,357.91;70.99;1.843;N;Compliant;;261.99;1996614.5
21,537;2017;NonResidential;Hotel;Seattle Pacific Hotel;325 Aurora Ave N;Seattle;WA;98109.0;1991200800;7.0;LAKE UNION;47.62174;-122.34417;1961.0;1.0;3.0;29,186;4,256;24,930;Hotel;Hotel;19,000;;;;;;97.0;42.70;42.80;80.80;80.80;811,966.8125;812,266.8125;;95,689.296875;326,491.8809375;4,854.75;485,475.00;27.13;0.93;N;Compliant;;261.99;1996614.5
21,539;2017;Multifamily MR (5-9);Mid-Rise Multifamily;Borealis;109 Dexter Ave North;Seattle;WA;98109.0;1991201030;7.0;LAKE UNION;47.61868;-122.34266;2008.0;1.0;6.0;60,364;;;Multifamily Housing, Parking;Multifamily;61,380;Parking;6,314;;;;;27.40;27.20;63.40;62.60;1,681,722.375;1,668,053.125;;297,689.09375;1,015,715.187875;6,660.07;666,006.98;39.57;0.656;N;Compliant;;261.99;1996614.5
21,546;2017;NonResidential;Worship Facility;Seattle Unity Church;200 8th Avenue N;Seattle;WA;98109.0;1991201375;7.0;LAKE UNION;47.6201;-122.34071;1960.0;1.0;1.0;27,338;0;27,338;Worship Facility;Worship Fac;27,338;;;;;;53.0;24.10;23.10;75.70;72.50;658,954.375;630,959.625;;193,128.5;658,954.442;;;2.73;0.1;N;Compliant;;261.99;1996614.5
21,547;2017;Multifamily MR (5-9);Mid-Rise Multifamily;Denny Park APTS;230 8th Ave N;Seattle;WA;98109.0;1991201405;7.0;LAKE UNION;47.62067;-122.34071;2005.0;1.0;6.0;79,480;14,480;65,000;Multifamily Housing, Parking;Multifamily;65,000;Parking;14,480;;;;97.0;33.00;32.30;70.20;68.90;2,146,740;2,097,805.25;;323,359.3125;1,103,301.97425;10,434.38;1,043,437.99;59.98;0.755;N;Compliant;;261.99;1996614.5
21,548;2017;Multifamily LR (1-4);Low-Rise Multifamily;Puget Vista;411 W Republican Street;Seattle;WA;98119.0;1992200030;7.0;MAGNOLIA / QUEEN ANNE;47.62304;-122.3624;1967.0;1.0;4.0;40,086;;;Multifamily Housing, Parking;Multifamily;28,860;Parking;4,752;;;;61.0;34.90;35.00;109.70;109.80;1,008,600.1875;1,008,986.625;;295,603.8125;1,008,600.20825;;;4.17;0.104;N;Compliant;;261.99;1996614.5
21,549;2017;NonResidential;Laboratory;410 W. Harrison;410 W. Harrison St.;Seattle;WA;98119.0;1992200045;7.0;MAGNOLIA / QUEEN ANNE;47.6224;-122.36248;1962.0;1.0;2.0;34,416;0;34,416;Laboratory, Office, Parking;Laboratory;20,649;Office;13,767;Parking;2,000;;;370.30;365.20;644.90;638.80;12,743,125;12,568,577;;1,235,925.75;4,216,978.659;85,261.46;8,526,146.09;470.27;13.664;N;Compliant;;261.99;1996614.5
21,550;2017;NonResidential;Small- and Mid-Sized Office;Bayview Building;129 1st Avenue West;Seattle;WA;98119.0;1992200400;7.0;MAGNOLIA / QUEEN ANNE;47.61954;-122.35847;1930.0;1.0;3.0;45,864;0;45,864;Office;Office;45,864;;;;;;94.0;59.50;57.10;86.00;83.50;2,728,013.25;2,618,737.5;;151,135;515,672.62;22,123.40;2,212,340.43;119.63;2.608;N;Compliant;;261.99;1996614.5
21,555;2017;Multifamily LR (1-4);Low-Rise Multifamily;Dexter Place Condominium;2145 Dexter Ave N;Seattle;WA;98109.0;2023500000;7.0;MAGNOLIA / QUEEN ANNE;47.63873;-122.34425;1985.0;1.0;4.0;22,984;;;Multifamily Housing;Multifamily;22,992;;;;;;62.0;27.90;27.40;87.70;86.00;642,262.625;629,987.8125;;188,236.40625;642,262.618125;;;2.66;0.116;N;Compliant;;261.99;1996614.5
21,556;2017;Multifamily LR (1-4);Low-Rise Multifamily;Jackson Greens Apartments;13341 15th Avenue NE;Seattle;WA;98125.0;2026049019;1.0;North;47.72645;-122.3131;1985.0;6.0;3.0;72,459;0;72,459;Multifamily Housing, Parking;Multifamily;63,212;Parking;0;;;;57.0;37.00;36.50;116.30;114.60;2,340,536.75;2,306,317;;685,972;2,340,536.464;;;9.68;0.134;N;Compliant;;261.99;1996614.5
21,557;2017;NonResidential;K-12 School;Lakeside Middle School;13510 1st Ave NE;Seattle;WA;98125.0;2026049022;5.0;NORTHWEST;47.72726;-122.32835;1999.0;1.0;2.0;49,252;0;49,252;K-12 School;K-12 School;61,099;;;;;;8.0;86.00;86.10;151.10;151.10;5,254,872;5,257,694;;520,778.3125;1,776,895.60225;34,779.76;3,477,976.17;192.07;3.9;N;Compliant;;261.99;1996614.5
21,562;2017;Multifamily LR (1-4);Low-Rise Multifamily;Diplomat Condominiums;4444 44th Avenue SW;Seattle;WA;98116.0;2041200000;1.0;SOUTHWEST;47.56336;-122.38774;1975.0;1.0;4.0;33,948;;;Multifamily Housing;Multifamily;24,242;;;;;;100.0;7.80;7.70;24.60;24.10;190,094.5;186,267.59375;;55,713.5;190,094.462;;;0.79;0.023;N;Not Compliant;Low outlier;261.99;1996614.5
21,563;2017;Multifamily LR (1-4);Low-Rise Multifamily;Discovery Park Condominium;3505 W. Government Way;Seattle;WA;98119.0;2041500000;7.0;MAGNOLIA / QUEEN ANNE;47.65818;-122.40283;1976.0;1.0;3.0;20,930;;;Multifamily Housing, Parking;Multifamily;20,930;Parking;4,000;;;;;24.20;24.00;76.10;75.40;507,517.5;502,646.40625;;148,744.796875;507,517.2469375;;;2.10;0.1;N;Compliant;;261.99;1996614.5
24,513;2017;NonResidential;Other;Oak Tree 6;10006 Aurora Ave N;Seattle;WA;98113.0;3126049388;5.0;NORTHWEST;47.70197;-122.34219;1986.0;1.0;1.0;33,392;0;33,392;Movie Theater;Movie Theat;33,392;;;;;;;83.20;81.00;261.30;254.40;2,778,459.5;2,705,051;;814,319.8125;2,778,459.20025;;;11.49;0.344;N;Compliant;;261.99;1996614.5
21,565;2017;Multifamily LR (1-4);Low-Rise Multifamily;Kimberly Apartments;11725 15th AVE NE;Seattle;WA;98125.0;2044500281;5.0;North;47.71496;-122.3129;1989.0;1.0;4.0;51,510;11,878;39,632;Multifamily Housing;Multifamily;51,510;;;;;;70.0;23.50;23.10;73.90;72.60;1,212,290.75;1,191,207.375;;355,302.09375;1,212,290.743875;;;5.02;0.097;N;Compliant;;261.99;1996614.5
21,567;2017;Multifamily LR (1-4);Low-Rise Multifamily;Riviera Northgate Apts.;11540 Pinehurst Way NE;Seattle;WA;98125.0;2044500350;5.0;North;47.71306;-122.31309;1970.0;1.0;4.0;36,408;;;Multifamily Housing;Multifamily;36,408;;;;;;;26.20;26.20;82.30;82.30;953,956.6875;954,152.5;;279,588.6875;953,956.60175;;;3.95;0.108;Y;Not Compliant;;261.99;1996614.5
21,568;2017;Multifamily LR (1-4);Senior Care Community;24747-Brookdale Northgate;11501 15th Ave NE;Seattle;WA;98125.0;2044500360;5.0;North;47.71235;-122.31323;1962.0;1.0;4.0;89,391;;;Parking, Senior Care Community;Senior Care;91,694;Parking;3,131;;;;48.0;63.60;63.10;157.10;155.60;5,829,951;5,785,619;;1,162,177.75;3,965,350.483;18,646.00;1,864,600.00;115.43;1.291;N;Compliant;;261.99;1996614.5
21,569;2017;Multifamily LR (1-4);Low-Rise Multifamily;Pinehurst Apartments;11500 Pinehurst Wy NE;Seattle;WA;98125.0;2044500380;5.0;North;47.7124;-122.31414;1978.0;1.0;4.0;51,387;;;Multifamily Housing;Multifamily;53,972;;;;;;85.0;23.10;22.70;72.50;71.40;1,246,660.75;1,227,716.25;;365,375.3125;1,246,660.56625;;;5.16;0.1;N;Compliant;;261.99;1996614.5
21,570;2017;SPS-District K-12;K-12 School;Hazel Wolf K-8 at Pinehurst;11530 12th Ave. N.E.;Seattle;WA;98125.0;2044500390;5.0;North;47.71343;-122.31466;1950.0;1.0;1.0;34,005;0;34,005;K-12 School;K-12 School;87,927;;;;;;71.0;29.30;29.30;87.10;87.10;2,578,341.5;2,578,341.5;;694,732.1875;2,370,426.22375;2,079.15;207,914.99;20.85;0.613;N;Compliant;;261.99;1996614.5
21,572;2017;Multifamily LR (1-4);Low-Rise Multifamily;Crystal Court Apartments;8401 5th Ave NE;Seattle;WA;98115.0;2061100030;4.0;NORTH;47.68982;-122.32335;1989.0;1.0;4.0;25,763;;;Multifamily Housing, Office, Parking;Multifamily;18,353;Parking;5,204;Office;2,206;;;26.70;26.20;83.80;82.30;548,511.125;538,974.875;;160,759.40625;548,511.094125;;;2.27;0.088;N;Compliant;;261.99;1996614.5
21,578;2017;SPS-District K-12;K-12 School;Genesee Hill Elementary;5012 S.W. Genesee St.;Seattle;WA;98116.0;2095200005;1.0;SOUTHWEST;47.56549;-122.39689;1949.0;1.0;1.0;41,221;0;41,221;K-12 School;K-12 School;91,000;;;;;;98.0;28.00;27.90;63.70;63.60;2,548,181;2,538,071.5;;438,191.59375;1,495,109.717875;10,530.71;1,053,071.00;62.11;1.507;Y;Not Compliant;;261.99;1996614.5
21,579;2017;Multifamily MR (5-9);Mid-Rise Multifamily;Illumina Lake Union Apartments;219 E Garfield St;Seattle;WA;98102.0;2107700110;4.0;LAKE UNION;47.63361;-122.3249;2005.0;1.0;6.0;106,524;;;Multifamily Housing, Parking;Multifamily;59,414;Parking;47,110;;;;82.0;49.00;48.30;152.30;150.10;2,913,904.5;2,868,650.5;;840,256.125;2,866,953.8985;469.50;46,950.33;14.35;0.135;N;Compliant;;261.99;1996614.5
21,580;2017;NonResidential;Small- and Mid-Sized Office;Galer;214 Galer St;Seattle;WA;98102.0;2107700160;4.0;LAKE UNION;47.63245;-122.32529;1987.0;1.0;3.0;33,176;0;33,176;Office, Parking;Office;33,176;Parking;15,000;;;;88.0;48.10;47.10;105.10;104.00;1,595,636.875;1,561,694;;254,028.09375;866,743.855875;7,288.93;728,893.02;42.30;1.275;N;Compliant;;261.99;1996614.5
21,582;2017;NonResidential;Retail Store;WSECU - 4;1500 Fairview Ave E;Seattle;WA;98102.0;2107700260;4.0;LAKE UNION;47.63246;-122.32658;1993.0;1.0;3.0;25,194;3,764;21,430;Medical Office, Office, Retail Store;Retail Stor;10,751;Medical Office;8,044;Office;2,635;;;95.80;93.60;189.60;187.20;2,052,270.25;2,005,977.875;;267,535.5;912,831.126;11,394.39;1,139,438.96;64.29;2.552;N;Compliant;;261.99;1996614.5
23,011;2017;NonResidential;Retail Store;Bevmo;10700 5th Ave NE;Seattle;WA;98125.0;2926049223;1.0;NORTH;47.70709;-122.32225;1966.0;1.0;1.0;41,615;0;41,615;Retail Store;Retail Stor;41,615;;;;;;66.0;48.70;47.60;153.00;149.50;2,027,237.5;1,980,886.25;;594,149.1875;2,027,237.02775;;;8.39;0.202;N;Compliant;;261.99;1996614.5
21,588;2017;Multifamily LR (1-4);Low-Rise Multifamily;hill villa;900 sw holden;Seattle;WA;98106.0;2114700295;1.0;DELRIDGE;47.53445;-122.34774;1967.0;1.0;3.0;21,385;;;Multifamily Housing;Multifamily;21,385;;;;;;74.0;26.40;25.70;82.80;80.80;564,001.6875;550,127.1875;;165,299.40625;564,001.574125;;;2.33;0.109;N;Compliant;;261.99;1996614.5
